title,address,city,state,zipcode,type
CACTUS CLUB,2496 S WENTWORTH AVE,MILWAUKEE,WI,53207,Draft
THE HAMILTON,228 E HAMILTON RD,CEDARBURG,WI,53012 290,Draft
JOE DANIELS,12218 SOUTH HARLEM,PALOS HEIGHTS,IL,60463,Draft
TOAD HALL,611 WISCONSIN AVENUE,RACINE,WI,53403,Draft
RICHTER'S CHALET,23920 MICHIGAN,DEARBORN,MI,48124,Draft
BUFFLO WILD WINGS/ALG,461 S RANDALL ROAD (2/14),ALGONQUIN,IL,60102,Draft
TAILGATORS,9256 S CICERO,OAK LAWN,IL,60453,Draft
ERNEST & SCOTT TAPROOM,902 N MARKET STREET,WILMINGTON,DE,19801,Draft
PARKER'S ELBOW ROOM,702 BUFFALO ST.,MANITOWOC,WI,54220,Draft
THUNDERHAWK GOLF COURSE Food for Th,39700 N. LEWIS AVE.,Beach Park,IL,60087,Draft
PINEVILLE TAVERN,1098 DURHAM ROAD PO 311,PINEVILLE,PA,18946,Draft
WURST BAR,705 CROSS STREET,YPSILANTI,MI,48198,Draft
OLD CHICAGO-EDEN PRAIRIE,12300 SINGLETREE LANE,EDEN PRAIRIE,MN,55344,Draft
EARL'S GROCERY & SALOON,401 SOUTH 3RD ST,LA CROSSE,WI,54601,Draft
SILVER LAKE MARINA,28836 SILVER LAKE ROAD,SALEM,WI,53168,Draft
SIX POINTS PUB & GRILL,6200 W GREENFIELD AVE,WEST ALLIS,WI,53214,Draft
BRASS TAP- 01294,10700 STATE RD 54 #101,NEW PORT RICHEY,FL,34655,Draft
XFINITY LIVE|,1100 PATTISON AVENUE,PHILADELPHIA,PA,19148,Draft
PD'S PLACE,9611 SOUTHWEST HWY,OAK LAWN,IL,60453,Draft
WHISTLERS INN,901 RT. 130 S.,CINNAMINSON,NJ,08077,Draft
HALF DOOR (THE),270 SISSON AVENUE,HARTFORD,CT,06105,Draft
DREWBY'S GRILL PUB,16 SOUTH MAIN ST,MANVILLE,NJ,088350000,Draft
CEDAR LAKE COMMUNITY CLUB,134 CEDAR LAKE WEST,DENVILLE,NJ,078340000,Draft
TILTED KILT PUB & EATERY,1360 LAKE ST,ROSELLE,IL,60172,Draft
BERLIN SPIRITS,118 MILL STREET,BERLIN,CT,06037,Draft
MC AULIFFE'S,3700 MEACHEM ROAD,RACINE,WI,53403,Draft
PARK BAR,2040 PARK,DETROIT,MI,48226,Draft
YE OLDE TAP ROOM,14915 CHARLEVOIX,GROSSE POINTE,MI,48215,Draft
BROWNSTONE,3937 N LINCOLN,CHICAGO,IL,60613,Draft
Leqacy Data-DiLorenzo-Penke,8711 J St,Omaha,NE,681270000,Draft
TRACKSIDE INN,8762 N GRANVILLE RD,MILWAUKEE,WI,53224,Draft
BINNY'S BEV DEPOT #1,6920 S RT 83,WILLOWBROOK,IL,60527,Draft
MT'S LOCAL KITCHEN & BAR,212 MAIN STREET,NASHUA,NH,03060,Draft
PARK SQUARE CELLAR-10963,16132 CHURCHVIEW DR,LITHIA,FL,33547,Draft
SOUTHRIDGE ATHL CLUB-JIMMY K'S,6815 W EDGERTON AVE,GREENFIELD,WI,53220,Draft
AVENUE WINE & LIQUOR,4075 S HOWELL AVE,MILWAUKEE,WI,53207,Draft
GEORGE'S STEAK HOUSE,2208 S MEMORIAL DRIVE,APPLETON,WI,54915,Draft
MOLLY MAGUIRE'S-LANSDALE,329-331 MAIN ST,LANSDALE,PA,19446,Draft
BACKYARD STEAK PIT,1818 GRANDWOOD DRIVE,Gurnee,IL,60031,Draft
POTTER'S PLACE,29 W JEFFERSON STREET,NAPERVILLE,IL,60540,Draft
RICARDOS PIZZA,5627 BROAD ST,GREENDALE,WI,53129,Draft
DOUBLE EAGLE PUB,790 N VAN BUREN,MILWAUKEE,WI,53202,Draft
J TIMOTHY'S,143 NEW BRITAIN AVENUE,PLAINVILLE,CT,06062,Draft
SHAMROCKS,7641 HIGHWAY 38,CALEDONIA,WI,53108,Draft
FLYING SAUCER DRAUGHT EMPORIUM,4821 BASS PRO,GARLAND,TX,75043,Draft
OTTOS PUB,509 ONEIDA ST,MINOCQUA,WI,54548,Draft
EPIC BISTRO,359 S BURDICK ST,KALAMAZOO,MI,490074842,Draft
GROWLER & GILL,148 E ROUTE 59,NANUET,NY,10954,Draft
KAISER'S PIZZA LOUNGE,1801 N. RT. 21,Gurnee,IL,60031,Draft
JAKE MORANS,57 S LAKE ST,Mundelein,IL,60060,Draft
VOL SERV - PATRIOTS #100,1 PATRIOTS PARK,BRIDGEWATER,NJ,088070000,Draft
SPIRITS UNLMTD/SPOT PIZZA,1506 RICHMOND AVE,POINT PLEASANT,NJ,08742,Draft
NEWPORTVILLE INN,4120 LOWER ROAD,NEWPORTVILLE,PA,19056,Draft
SALOON ON CALHOUN,17000 W CAPITOL DRIVE,BROOKFIELD,WI,53151,Draft
SUPER LIQUOR FOUR,2666 S. STATE,ANN ARBOR,MI,48108,Draft
BUFFALO WILD WINGS-FRANKF,20596 LAGRANGE RD,FRANKFORT,IL,60423,Draft
O'BRIEN'S IRISH PUB,11 E. CENTRAL AVE,TEMPLE,TX,76501,Draft
ZENDA TAP MJC,N590 ZENDA ROAD,ZENDA,WI,53195,Draft
PESCARA,150 SOUTH BROADWAY,ROCHESTER,MN,55904,Draft
