title,address,city,state,zipcode,type
CEDAR POINT BAR & REST,2370 EAST NORRIS STREET,PHILADELPHIA,PA,19125,Draft
SHAMROCK LIQUORS,400 LOWELL AVE  SUITE 6,HAVERHILL,MA,018323692,Draft
ST ANDREWS INN,5938 N BROADWAY,CHICAGO,IL,60660,Draft
TILTED KILT PUB & EATERY,17 N WABASH AVE,CHICAGO,IL,60602,Draft
BRAUHAUS SCHMITZ,718 SOUTH STREET,PHILADELPHIA,PA,19147,Draft
ALPINE LANES,S80 W18700 APOLLO,MUSKEGO,WI,53150 921,Draft
INDIANA BEVERAGE,2850 BARLEY RD,VALPARAISO,IN,463834463,Draft
REFLECTION RESTAURANT,38564 N. EDGEWOOD AVE,Lake Villa,IL,60046,Draft
DUBLIN'S IRISH PUB,2070 W 9TH AVE,OSHKOSH,WI,54904,Draft
HILTON GARDEN INN,111 HANCOCK LANE,WESTAMPTON,NJ,08060,Draft
LEFT BANK,122 N GEORGE ST,YORK,PA,17401,Draft
CORNER PUB,7602 W LISBON AVE,MILWAUKEE,WI,53222,Draft
RAPID MART OF WATERTOWN,330 EAST SUMMIT AVE.,WATERTOWN,WI,53094,Draft
NORTH SHORE COUNTRY CLUB,3100 WEST COUNTRY CLUB DRIVE,MEQUON,WI,53092 519,Draft
THE LONDONDER PUB AND GRILL,2817  GREENVILLE,DALLAS,TX,75206,Draft
MUSSEL BAR AC,500 BOARDWALK (REVEL),ATLANTIC CITY,NJ,08401,Draft
OLD CHICAGO,2901 E CENTRAL TEXAS EXPWY,KILLEEN,TX,76543,Draft
TOWER INN,701 W. CROSS,YPSILANTI,MI,48197,Draft
BUDDY & PAL'S PLACE - CROWN POINT,1206 EAST SUMMIT STREET,CROWN POINT,IN,46307,Draft
HOFBRAU,2784 M 137,INTERLOCHEN,MI,49643,Draft
PETE'S PIZZA,3737 N WESTERN,CHICAGO,IL,60618,Draft
TAVERNA OUZO,266 E MICHIGAN AVE,KALAMAZOO,MI,490073910,Draft
SEVEN SEAS,1807 NAGAWICKA ROAD,HARTLAND,WI,53029 939,Draft
MOOSE LODGE #691/MCHENRY,3535 N. RICHMOND RD(6/13),MCHENRY,IL,60050,Draft
FRITZS PUB,3086 S 20TH ST,MILWAUKEE,WI,53215,Draft
The Cobblestone Grill,160 S Main,Zionsville,IN,46077,Draft
MILES LAB,3763 E JACKSON BLVD,ELKHART,IN,46514,Draft
GREEN DOOR TAVERN,676 N ORLEANS ST,CHICAGO,IL,60610,Draft
FRANKFORT BOWL LLC,15 S. ASH ST.,FRANKFORT,IL,60423,Draft
SPRINGDALE GOLF CLUB,1895 CLUBHOUSE DRIVE,PRINCETON,NJ,08540,Draft
